Grupo Vehiculo;Placa;digito;Codigo SII;A�o Veh�culo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;A�o Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmisi�n;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas;
Vehiculo Liviano;FXRC-75;2;SD207006413;2013;2999839;Presencial;29998;0;0;29998;Total;15/02/2022;2022;AUTOMOVIL;SAMSUNG;SM3 PE MT (DECO);PLATEADO;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;CVFF-66;0;CT176026611;2011;3440932;Presencial;36153;0;0;36153;Total;15/02/2022;2022;CAMIONETA;NISSAN;TERRANO D/C 4X2 AA;PLATEADO PLATA;Mec;Benc;2400;Equi;4;
Vehiculo Liviano;ZW-2446;4;CT166003407;2007;3453510;Presencial;36405;0;0;36405;Total;15/02/2022;2022;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA 4X2;GRIS GRAFITO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;TB-7943;1;CT050007499;1999;1107181;Presencial;31595;1631;4475;37701;Total;15/02/2022;2021;CAMIONETA;CHEVROLET;S10 EXT/CAB MT PWR;PLATEADO METALICO;Mec;Benc;2200;Equi;2;
Vehiculo Liviano;GFWY-20;5;HB235004614;2014;5405110;Presencial;75437;0;0;75437;Total;15/02/2022;2022;AUTOMOVIL;TOYOTA;URBAN;PLATEADO METALICO;Mec;Benc;1300;Full;4;
Vehiculo Liviano;LSBS-96;6;HB077019719;2019;5707760;Presencial;81490;0;0;81490;Total;15/02/2022;2022;AUTOMOVIL;FIAT;UNO WAY;BLANCO BANCHISA;Mec;Benc;1400;NULL;5;
Vehiculo Liviano;HTZR-85;1;NULL;2022;0;Presencial;123964;4281;7017;135262;Total;15/02/2022;2021;CAMIONETA;HYUNDAI;HD 35 EURO;BLANCO;MEC;DIES;2500;NORM;2;
Vehiculo Liviano;GGGW-24;4;CT235013714;2014;8646076;Presencial;161387;0;0;161387;Total;15/02/2022;2022;CAMIONETA;TOYOTA;HILUX;ROJO SUPER;Mec;Dies;2500;Full;4;
Vehiculo Liviano;TP-9662;8;HB057001400;2000;1003969;Presencial;31595;1631;4475;37701;Total;16/02/2022;2021;AUTOMOVIL;DAEWOO;LANOS SX;BLANCO;Mec;Benc;1500;Full;2;
Vehiculo Liviano;CTWP-97;1;SU229023811;2011;3913510;Presencial;45605;0;0;45605;Total;16/02/2022;2022;STATION WAGON;SUZUKI;GRAND VITARA;PLATEADO;Mec;Benc;1600;Full;2;
Vehiculo Liviano;TP-9662;8;HB057001400;2000;1070000;Presencial;36646;2409;9400;48455;Total;16/02/2022;2020;AUTOMOVIL;DAEWOO;LANOS SX;BLANCO;Mec;Benc;1500;Full;2;
Vehiculo Liviano;BSKR-43;8;VN111012508;2008;4110410;Presencial;49543;0;0;49543;Total;16/02/2022;2022;MINIBUS;HYUNDAI;H1 MB GL 2.5 TCI 12S;BLANCO;Mec;Dies;2500;Norm;4;
Vehiculo Liviano;TP-9662;8;HB057001400;2000;1180000;Presencial;41848;3264;14407;59519;Total;16/02/2022;2019;AUTOMOVIL;DAEWOO;LANOS SX;BLANCO;Mec;Benc;1500;Full;2;
Vehiculo Liviano;BSKR-43;8;VN111012508;2008;3856474;Presencial;57693;2979;8171;68843;Total;16/02/2022;2021;MINIBUS;HYUNDAI;H1 MB GL 2.5 TCI 12S;BLANCO;Mec;Dies;2500;Norm;4;
Vehiculo Liviano;FVXV-55;5;CT176030513;2013;5658710;Presencial;80509;0;0;80509;Total;16/02/2022;2022;CAMIONETA;NISSAN;TERRANO DXS TURBO DSEL 4X2 A/A;PLATA;Mec;Dies;2500;Equi;4;
Vehiculo Liviano;HXVT-25;2;CT079017316;2016;10802612;Presencial;113042;0;0;113042;1ra. Cuota;16/02/2022;2022;CAMIONETA;FORD;RANGER;ROJO DESIERT;Mec;Dies;3200;Full;4;
Vehiculo Liviano;KXFH-48;6;SU184019619;2019;11266822;Presencial;120005;0;0;120005;1ra. Cuota;16/02/2022;2022;STATION WAGON;PEUGEOT;2008;BLANCO NACARADO;Mec;Dies;1500;FULL;4;
Vehiculo Liviano;FVXV-55;5;CT176030513;2013;5704797;Presencial;103515;5345;14661;123521;Total;16/02/2022;2021;CAMIONETA;NISSAN;TERRANO DXS TURBO DSEL 4X2 A/A;PLATA;Mec;Dies;2500;Equi;4;
Vehiculo Liviano;KXFH-48;6;SU184019619;2019;11306417;Presencial;143570;6392;11854;161816;2da. Cuota;16/02/2022;2021;STATION WAGON;PEUGEOT;2008;BLANCO NACARADO;Mec;Dies;1500;FULL;4;
Vehiculo Liviano;PZPD-96;5;VN050007821;2021;10034461;Presencial;203038;0;0;203038;Total;16/02/2022;2022;STATION WAGON;CHEVROLET;SPIN;GRIS METALICO;Mec;Benc;1800;Full;4;
Vehiculo Liviano;KVXK-99;0;CT225001219;2019;10711594;Presencial;223352;0;0;223352;Total;16/02/2022;2022;CAMIONETA;SSANGYONG;A.SPORTS;BLANCO;Mec;Dies;2000;Full;4;
Vehiculo Liviano;RFP-96;0;NULL;2021;0;Presencial;10114;379;706;11199;Total;17/02/2022;2021;MOTOCICLETA;MOTORRAD;TTX150;AZUL;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;WX-4104;7;HB052011707;2007;2848900;Presencial;28489;0;0;28489;Total;17/02/2022;2022;AUTOMOVIL;CITROEN;C3 1.4;GRIS ALUMINIUM;Mec;Benc;1400;Full;4;
Vehiculo Liviano;TT-5913;0;SD050017800;2000;1403693;Presencial;31595;1631;4475;37701;Total;17/02/2022;2021;STATION WAGON;CHEVROLET;VECTRA GL 1.6;PLATEADO METALICO;Aut;Benc;1600;Full;4;
Vehiculo Liviano;BSPC-99;K;SU229021008;2008;3941660;Presencial;46168;0;0;46168;Total;17/02/2022;2022;STATION WAGON;SUZUKI;GRAND NOMADE;GRIS GRAFITO;Mec;Dies;1900;Full;4;
Vehiculo Liviano;TT-5913;0;SD050017800;2000;1496013;Presencial;36646;2409;9400;48455;Total;17/02/2022;2020;STATION WAGON;CHEVROLET;VECTRA GL 1.6;PLATEADO METALICO;Aut;Benc;1600;Full;4;
Vehiculo Liviano;TT-5913;0;SD050017800;2000;1590000;Presencial;41848;3264;14407;59519;Total;17/02/2022;2019;STATION WAGON;CHEVROLET;VECTRA GL 1.6;PLATEADO METALICO;Aut;Benc;1600;Full;4;
Vehiculo Liviano;KCJC-33;6;CT077002818;2018;7644421;Presencial;65669;0;0;65669;1ra. Cuota;17/02/2022;2022;CAMIONETA;FIAT;STRADA;NEGRO VULCANO;Mec;Benc;1600;Full;2;
Vehiculo Liviano;BSPC-99;K;SU229021008;2008;3987728;Presencial;60947;3147;8632;72726;Total;17/02/2022;2021;STATION WAGON;SUZUKI;GRAND NOMADE;GRIS GRAFITO;Mec;Dies;1900;Full;4;
Vehiculo Liviano;JPFB-27;6;HB235007617;2017;7750267;Presencial;81668;3636;6743;92047;2da. Cuota;17/02/2022;2021;STATION WAGON;TOYOTA;RUSH LEI MEC 4X4;GRIS METALICO;Mec;Benc;1500;Full;4;
Vehiculo Liviano;JPFG-15;8;CT225001317;2017;9473809;Presencial;93110;0;0;93110;1ra. Cuota;17/02/2022;2022;CAMIONETA;SSANGYONG;A.SPORTS;ROJO GUINDA;Mec;Dies;2000;Full;4;
Vehiculo Liviano;HWGT-75;4;CT166006416;2016;9765261;Presencial;194962;0;0;194962;Total;17/02/2022;2022;CAMIONETA;MITSUBISHI;L200;ROJO;Mec;Dies;2400;Full;4;
Vehiculo Liviano;PYFL-68;5;CT079017521;2021;22500166;Presencial;669523;0;0;669523;Total;17/02/2022;2022;CAMIONETA;FORD;RANGER;AZUL BELIZE;Mec;Dies;3200;Full;4;
Vehiculo Liviano;SSR-091;K;NULL;2022;0;Presencial;24828;0;0;24828;Total;18/02/2022;2022;MOTO;LONCIN;LX150-45;GRIS;MEC;BENC;150;NORM;0;
Vehiculo Liviano;TH-1767;9;SD229001400;2000;1337906;Presencial;27221;0;0;27221;Total;18/02/2022;2022;AUTOMOVIL;SUZUKI;BALENO;BLANCO;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;ZJ-8857;8;SD111009705;2005;1802078;Presencial;27221;0;0;27221;Total;18/02/2022;2022;AUTOMOVIL;HYUNDAI;ACCENT GL PS;BLANCO;Mec;Benc;1500;Equi;4;
Vehiculo Liviano;VA-6594;6;CT235004002;2002;1510833;Presencial;27221;0;0;27221;Total;18/02/2022;2022;CAMIONETA;TOYOTA;HILUX C/S DLX;BLANCO;Mec;Benc;2400;Norm;2;
Vehiculo Liviano;FXPZ-36;5;CT268000913;2013;3275172;Presencial;32838;0;0;32838;Total;18/02/2022;2022;CAMIONETA;HUANGHAI;GRAND TIGER 2.2 CUV DC PLUS;VERDE INGLES;Mec;Benc;2200;Equi;4;
Vehiculo Liviano;DGYR-46;9;CO197002012;2012;3388460;Presencial;35104;0;0;35104;Total;18/02/2022;2022;FURGON;RENAULT;KANGOO EXPRESION MT;BLANCO;Mec;Dies;1500;Equi;4;
Vehiculo Liviano;KKHX-44;5;SU117002418;2018;4916634;Presencial;39309;1750;3246;44305;2da. Cuota;18/02/2022;2021;STATION WAGON;JAC;S2 1.5 4X2 CE;CAFE;Mec;Benc;1500;Full;4;
Vehiculo Liviano;JPFC-91;4;SU117003517;2017;5796060;Presencial;83256;0;0;83256;Total;18/02/2022;2022;STATION WAGON;JAC;S3;ROJO;Mec;Benc;1600;Full;4;
Vehiculo Liviano;DRRH-99;0;CT176030212;2012;7169719;Presencial;117096;0;0;117096;Total;18/02/2022;2022;CAMIONETA;NISSAN;NAVARA LE 4X4 MT;PLATA TITANIO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;LWRZ-67;K;SU117002620;2020;7268640;Presencial;120064;0;0;120064;Total;18/02/2022;2022;STATION WAGON;JAC;S2;NEGRO;Mec;Benc;1500;Full;4;
Vehiculo Liviano;LFKW-26;7;CT160012019;2019;14916996;Presencial;362579;0;0;362579;Total;18/02/2022;2022;CAMIONETA;MAZDA;BT50;GRIS TITANIO;Mec;Dies;2200;Full;4;
Vehiculo Liviano;YE-4093;5;SU184006605;2005;1920396;Presencial;27221;0;0;27221;Total;21/02/2022;2022;STATION WAGON;PEUGEOT;307 XR BREAK 1.6;GRIS ALUMINIUM;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;HDGZ-84;1;HB229009215;2015;2310952;Presencial;27221;0;0;27221;Total;21/02/2022;2022;AUTOMOVIL;SUZUKI;ALTO 800 GL;AZUL PERLADO;Mec;Benc;800;Norm;4;
Vehiculo Liviano;VL-8896;6;HB050004503;2003;1237791;Presencial;27221;0;0;27221;Total;21/02/2022;2022;AUTOMOVIL;CHEVROLET;CORSA;GRIS VIRGO;Mec;Benc;1800;Norm;4;
Vehiculo Liviano;GVBZ-83;7;HB132004615;2015;3327997;Presencial;33895;0;0;33895;Total;21/02/2022;2022;AUTOMOVIL;KIA MOTORS;MORNING LX 1.0 MT DH;PLATEADO TITANIO;Mec;Benc;1000;Equi;4;
Vehiculo Liviano;DBTD-80;5;SU229024711;2011;3790688;Presencial;45227;0;0;45227;Total;21/02/2022;2022;AUTOMOVIL;SUZUKI;SX4;ROJO;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;PCJV-19;0;HB229018620;2020;5118660;Presencial;69708;0;0;69708;Total;21/02/2022;2022;AUTOMOVIL;SUZUKI;SPRESSO;ROJO;Mec;Benc;1000;NULL;4;
Transporte Publico;PW-1718;2;NULL;2007;1;Presencial;62200;3004;7398;72602;Total;21/02/2022;2021;MINIBUS ESCOLAR;HYUNDAI;HI SVX 2.5;AMARILLO;MEC;DIES;2500;NORM;0;
Vehiculo Liviano;DKKK-45;2;SD111020615;2015;5670381;Presencial;80742;0;0;80742;Total;21/02/2022;2022;AUTOMOVIL;HYUNDAI;ACCENT;NEGRO GRIS;Mec;Dies;1600;Full;4;
Vehiculo Liviano;CTFH-84;7;CT235011611;2011;5968110;Presencial;86697;0;0;86697;Total;21/02/2022;2022;CAMIONETA;TOYOTA;HILUX;ROJO SUPER;Mec;Dies;2500;Equi;4;
Vehiculo Liviano;JTCT-94;9;VN229000817;2017;6085760;Presencial;89050;0;0;89050;Total;21/02/2022;2022;STATION WAGON;SUZUKI;ERTIGA 1.4 GLX;GRIS GRAFITO;Mec;Benc;1400;Full;4;
Vehiculo Liviano;HKZJ-18;5;SU227042516;2016;9073255;Presencial;104697;4661;8645;118003;2da. Cuota;21/02/2022;2021;STATION WAGON;SUBARU;XV 2.0I AWD CVT DYNAMIC E;AZUL CUARZO;Aut;Benc;2000;Full;4;
Vehiculo Liviano;JGRW-24;5;SU079006217;2017;7243973;Presencial;119324;0;0;119324;Total;21/02/2022;2022;STATION WAGON;FORD;ECOSPORT TITANIUM 1.6L;BEIGE;Mec;Benc;1600;Full;4;
Vehiculo Liviano;KHRB-77;2;CT166006919;2019;12204230;Presencial;134066;0;0;134066;1ra. Cuota;21/02/2022;2022;CAMIONETA;MITSUBISHI;L200;BLANCO FAIRY;MEC;DIES;2400;EQUI;0;
Vehiculo Liviano;LT-3021;2;VN079001195;1995;1237791;Presencial;27221;0;0;27221;Total;22/02/2022;2022;JEEP;FORD;EXPLORER SPORT 4 X 4;VERDE;Aut;Benc;4000;Full;2;
